event_id,customer_id,event_type,event_date,channel
E6576507,C010828,app_login,2023-08-03,system
E9718843,C010828,email_open,2024-07-16,app
E1801191,C010828,email_open,2023-06-22,sms
E6014176,C010828,churn,2024-01-14,sms
E8673245,C010828,email_open,2024-09-07,system
E1105573,C010828,app_login,2024-10-18,system
E5797322,C014161,churn,2023-11-11,email
E4794996,C014161,sms_click,2024-03-14,app
E4136845,C014161,email_open,2023-02-18,sms
E4037836,C014161,app_login,2025-04-06,sms
E4845684,C008585,email_open,2024-05-17,system
E8204613,C008585,email_open,2024-01-31,sms
E9521550,C008585,email_open,2025-05-26,app
E8564468,C019780,sms_click,2023-11-11,system
E2214765,C019780,email_open,2025-11-09,email
E4741112,C019780,sms_click,2023-11-16,sms
E5152898,C019780,app_login,2023-12-01,app
E9527539,C019780,churn,2025-10-17,app
E5665013,C019780,email_open,2025-04-22,system
E5034913,C001220,email_open,2023-07-07,app
E5620589,C001220,email_open,2024-01-09,sms
E4731382,C001220,reactivation,2025-08-18,app
E5775089,C013380,email_open,2024-09-13,email
E3577872,C010919,sms_click,2025-05-06,email
E7568770,C010919,email_open,2024-12-13,sms
E5437890,C010919,email_open,2025-07-27,app
E3774453,C013237,email_open,2025-12-20,email
E7428108,C013237,app_login,2025-02-04,system
E9184466,C005859,reactivation,2025-11-05,system
E6047858,C005859,churn,2025-11-12,email
E8316972,C005859,app_login,2025-07-19,system
E7666088,C001114,churn,2025-01-03,sms
E4314975,C018242,churn,2022-11-17,system
E8775022,C018242,app_login,2023-05-26,app
E4740498,C018242,reactivation,2024-08-30,system
E5435248,C018242,email_open,2023-06-30,app
E2956086,C018242,app_login,2023-12-02,sms
E6504815,C010487,churn,2025-10-11,email
E1573193,C008253,sms_click,2025-01-25,system
E7274385,C008253,sms_click,2025-02-07,sms
E7663226,C016697,app_login,2025-03-12,sms
E9464005,C016697,app_login,2025-09-21,sms
E9124463,C016697,sms_click,2025-12-07,email
E6137451,C002336,email_open,2025-10-30,system
E4170801,C002336,app_login,2024-11-05,system
E7999358,C002336,app_login,2025-05-12,system
E9989812,C001107,churn,2024-08-01,sms
E4905444,C001107,sms_click,2023-04-21,sms
E6925405,C001107,app_login,2024-11-02,system
E7751127,C001107,email_open,2024-11-19,sms
E9692094,C001107,email_open,2023-01-21,email
E1917567,C001107,app_login,2023-08-06,system
E6221894,C008627,app_login,2024-04-03,app
