ticket_id,customer_id,issue_type,resolution_time_minutes,csat_score
S1143718,C012911,Service Quality,56,1
S7601358,C007402,App Issue,238,4
S2016114,C017551,Service Quality,229,4
S2278127,C008059,Membership Cancellation,216,3
S5209159,C019515,Membership Cancellation,168,4
S7954844,C012272,App Issue,47,1
S6319400,C004610,Billing,182,1
S8205135,C010118,Billing,39,1
S1051338,C008741,Billing,96,4
S3001437,C002449,App Issue,69,4
S5328080,C005648,Service Quality,192,3
S5152395,C005340,Service Quality,223,2
S8714127,C005047,Membership Cancellation,23,3
S2650987,C002525,App Issue,59,1
S5038523,C018987,Service Quality,235,1
S4804439,C006033,Membership Cancellation,32,5
S5369445,C013945,App Issue,162,4
S2879725,C004208,Billing,162,1
S1222183,C011009,Membership Cancellation,111,4
S9321327,C005833,Billing,67,3
S4704290,C010816,App Issue,136,1
S5381053,C013225,Billing,202,1
S5051529,C002878,Membership Cancellation,170,5
S2250898,C019690,Membership Cancellation,66,2
S5564173,C000868,Service Quality,57,3
S9159237,C007079,Billing,103,3
S8493469,C016238,App Issue,234,2
S4669152,C017983,App Issue,66,2
S8358872,C001982,Membership Cancellation,158,5
S4995918,C013563,Billing,100,3
S3489881,C009453,App Issue,194,1
S4333294,C011816,Service Quality,42,3
S7117758,C010559,Service Quality,124,4
S2716502,C014819,Membership Cancellation,42,2
S1087449,C004409,Membership Cancellation,131,5
S5371117,C015532,App Issue,123,3
S1939997,C017961,Membership Cancellation,104,3
S8998466,C006841,Billing,46,1
S5021027,C001945,Service Quality,57,1
S8477887,C012030,App Issue,161,5
S4466868,C006996,Billing,144,5
S8754181,C012918,App Issue,35,1
S5106389,C018061,Service Quality,80,5
S8556924,C000697,Billing,235,4
S2797703,C018533,Service Quality,163,1
S6224101,C009552,App Issue,29,3
S2448646,C010459,Service Quality,141,5
S5537067,C010218,Membership Cancellation,178,1
S1505084,C000533,Billing,39,2
S7252895,C001563,Membership Cancellation,220,5
S3898409,C001546,Billing,62,4
S9832239,C008817,Service Quality,144,2
S2894619,C013758,Service Quality,211,1
S9361367,C004221,Billing,69,1
S2112607,C007162,App Issue,210,5
S5885986,C009427,Billing,204,3
S4314660,C016220,Billing,176,2
S6825896,C003934,Service Quality,126,2
S8248273,C005055,Membership Cancellation,124,5
S1366064,C018765,Membership Cancellation,104,5
S1005590,C001412,App Issue,196,3
S1680234,C006986,Billing,68,4
S3827015,C006328,App Issue,193,5
S5634312,C000432,Billing,169,3
S4650381,C018945,Membership Cancellation,192,5
S3634593,C001005,Membership Cancellation,46,5
S7569516,C019592,Service Quality,109,4
S1675049,C010669,Membership Cancellation,41,1
S3449704,C003423,App Issue,231,1
S9586087,C004027,App Issue,237,2
S8079807,C019925,Membership Cancellation,81,2
S2865197,C008014,App Issue,139,5
S9919943,C011721,Service Quality,220,5
S1520620,C016433,App Issue,127,3
S5042259,C002135,App Issue,197,1
S1393947,C017090,App Issue,206,2
S2421683,C015000,Billing,93,3
S1204584,C007292,Service Quality,120,3
S5991110,C002639,Membership Cancellation,172,4
S3586557,C008350,Service Quality,132,2
S7262570,C006227,App Issue,131,3
S3935275,C018238,Membership Cancellation,208,1
S9410714,C016381,App Issue,206,4
S8322257,C004043,Billing,141,4
S7761369,C001375,Billing,148,2
S2379644,C019586,Membership Cancellation,202,2
S3663627,C001992,App Issue,34,1
S1187741,C005054,App Issue,170,1
S5880766,C018245,Membership Cancellation,231,4
S7445560,C010962,Membership Cancellation,28,5
S2546264,C008582,App Issue,231,3
S7687744,C019495,App Issue,183,1
S3655958,C005985,Billing,217,4
S6805391,C002396,Service Quality,198,3
S6534224,C003822,Service Quality,100,5
S2045659,C000092,App Issue,149,4
S4140117,C010403,Billing,175,4
S3290022,C016469,Membership Cancellation,115,4
S8449851,C000604,Service Quality,129,4
S6848748,C013053,Billing,49,5
S3589422,C018333,App Issue,23,3
S4195185,C010694,Membership Cancellation,9,5
S2411700,C008662,App Issue,45,3
S1988206,C018251,Billing,94,5
S5140131,C012575,App Issue,184,1
S8743764,C013984,Membership Cancellation,204,2
S5611693,C011634,Membership Cancellation,186,3
S9456754,C005166,Membership Cancellation,126,5
S1651777,C006320,App Issue,213,4
S5916233,C009589,Membership Cancellation,117,5
S5456859,C014654,Service Quality,65,2
S7453796,C004274,Billing,136,3
S9569141,C004465,App Issue,239,5
S9292750,C012080,Membership Cancellation,132,1
S7966843,C011702,Membership Cancellation,174,4
S9720952,C008102,Billing,74,1
S5879511,C004714,Membership Cancellation,143,3
S9716388,C019680,Service Quality,40,5
S4725434,C006584,Membership Cancellation,15,4
S3006901,C000540,Service Quality,33,5
S6072477,C010268,Billing,111,3
S7988568,C016361,Membership Cancellation,106,1
S4383524,C016132,Membership Cancellation,184,2
S5380788,C000649,App Issue,49,5
S9842257,C007061,Membership Cancellation,68,4
S4583899,C001289,App Issue,144,2
S3805178,C013773,Service Quality,195,5
S3707537,C003599,Service Quality,83,3
S8677450,C012082,App Issue,7,5
S5083533,C002221,Service Quality,202,5
S8275366,C016705,Billing,46,2
S3802745,C011306,Membership Cancellation,219,4
S4723081,C016543,Service Quality,171,1
S1073117,C003151,Membership Cancellation,223,1
S2594311,C007653,Billing,234,2
S5252150,C003202,Membership Cancellation,22,5
S4702918,C013153,App Issue,212,4
S5326489,C007918,Billing,57,5
S8782111,C003821,Membership Cancellation,138,5
S2760110,C009482,App Issue,54,2
S1085783,C019885,Billing,208,2
S2621580,C002391,App Issue,145,1
S4560346,C019679,Billing,26,1
S9875649,C017312,Service Quality,86,1
S9718362,C007833,Billing,170,5
S6284416,C013632,App Issue,167,3
S5176678,C002083,App Issue,14,4
S4914248,C005212,Membership Cancellation,233,4
S9807374,C016677,Billing,166,2
S5524988,C017210,Service Quality,159,4
S1722986,C011412,Service Quality,180,1
S7116163,C012533,App Issue,96,2
S3318783,C009477,Service Quality,43,4
S8101389,C000198,Service Quality,101,4
S6670466,C001819,Service Quality,54,4
S2565740,C003083,App Issue,12,5
S4966579,C018976,Membership Cancellation,224,3
S5814006,C015754,Billing,215,5
S1006076,C012503,App Issue,212,3
S8470115,C019255,Billing,46,2
S2537548,C016438,Membership Cancellation,131,4
S9174546,C017663,App Issue,158,4
S5971892,C005198,Billing,68,2
S8250513,C003229,App Issue,225,4
S8258013,C011457,Billing,70,4
S4744889,C002017,Service Quality,200,5
S9130872,C018440,Service Quality,59,3
S1318487,C014498,Membership Cancellation,169,1
S4660128,C016898,Service Quality,124,1
S6727335,C007603,Billing,46,5
S3374055,C019843,Billing,79,4
S3913041,C014176,Membership Cancellation,157,2
S4165540,C007009,Service Quality,41,3
S2043611,C015526,Service Quality,149,2
S6486734,C017391,Billing,40,4
S3229299,C006611,Billing,203,5
S4642072,C010967,Membership Cancellation,183,2
S1310817,C009579,Service Quality,202,1
S4996609,C011509,App Issue,227,3
S2879110,C013929,App Issue,139,2
S6066709,C000119,App Issue,71,4
S9942201,C003803,Service Quality,126,2
S7561429,C012154,App Issue,106,1
S1618348,C001049,Membership Cancellation,6,3
S6746795,C014323,App Issue,61,1
S9906386,C011945,Membership Cancellation,182,1
S5398287,C003549,Service Quality,52,5
S8261149,C019272,Membership Cancellation,22,5
S3695530,C016500,Service Quality,134,4
S8988471,C008717,Membership Cancellation,212,2
S3448768,C011072,App Issue,130,3
S3894242,C019916,Membership Cancellation,168,3
S5640958,C008784,App Issue,240,5
S4307626,C017128,App Issue,83,5
S8548437,C007068,Membership Cancellation,61,5
S5583716,C005465,Service Quality,224,2
S6164885,C019671,Service Quality,131,4
S7627572,C004872,App Issue,49,3
S4462766,C015883,Membership Cancellation,191,3
S7655381,C007371,Billing,147,3
S7884407,C004648,App Issue,199,5
