date,channel,campaign,ad_group,spend,impressions,clicks,conversions
1/1/2022,Google Ads,Campaign_7,AdGroup_5,2722.85,20352,224,21
1/1/2022,Meta Ads,Campaign_8,AdGroup_1,3881.41,52626,2241,198
1/2/2022,Google Ads,Campaign_7,AdGroup_3,2224.50,83734,4167,202
1/2/2022,Meta Ads,Campaign_10,AdGroup_1,4525.96,23340,503,43
1/3/2022,Google Ads,Campaign_1,AdGroup_1,1402.25,54787,2373,59
1/3/2022,Meta Ads,Campaign_2,AdGroup_4,4566.54,53811,1903,146
1/4/2022,Google Ads,Campaign_8,AdGroup_3,4496.83,35447,760,56
1/4/2022,Meta Ads,Campaign_12,AdGroup_6,2153.57,110005,1247,116
1/5/2022,Google Ads,Campaign_3,AdGroup_5,718.81,51638,828,94
1/5/2022,Meta Ads,Campaign_2,AdGroup_5,1467.65,70055,1444,161
1/6/2022,Google Ads,Campaign_5,AdGroup_6,4623.63,30488,1376,126
1/6/2022,Meta Ads,Campaign_11,AdGroup_2,998.49,31889,693,80
1/7/2022,Google Ads,Campaign_8,AdGroup_6,4371.44,90414,1786,112
1/7/2022,Meta Ads,Campaign_10,AdGroup_4,1238.47,31055,1411,156
1/8/2022,Google Ads,Campaign_11,AdGroup_6,714.91,44493,1165,96
1/8/2022,Meta Ads,Campaign_5,AdGroup_2,3442.83,94145,4605,191
1/9/2022,Google Ads,Campaign_5,AdGroup_3,1557.98,35274,526,28
1/9/2022,Meta Ads,Campaign_7,AdGroup_6,4482.14,48093,2334,113
1/10/2022,Google Ads,Campaign_12,AdGroup_4,1140.66,42241,555,35
1/10/2022,Meta Ads,Campaign_5,AdGroup_1,1220.03,111996,4857,371
1/11/2022,Google Ads,Campaign_9,AdGroup_2,2034.18,24949,726,23
1/11/2022,Meta Ads,Campaign_10,AdGroup_3,3075.90,67759,1789,176
1/12/2022,Google Ads,Campaign_7,AdGroup_5,1560.35,86316,1964,178
1/12/2022,Meta Ads,Campaign_11,AdGroup_3,2316.50,69966,3150,87
1/13/2022,Google Ads,Campaign_5,AdGroup_6,2113.02,43278,945,71
1/13/2022,Meta Ads,Campaign_12,AdGroup_6,1798.01,73375,2809,134
1/14/2022,Google Ads,Campaign_7,AdGroup_6,1236.59,59321,1246,95
1/14/2022,Meta Ads,Campaign_4,AdGroup_2,3757.46,59366,750,79
1/15/2022,Google Ads,Campaign_4,AdGroup_1,2996.30,51253,1931,118
1/15/2022,Meta Ads,Campaign_12,AdGroup_1,2657.66,91775,2271,97
1/16/2022,Google Ads,Campaign_9,AdGroup_3,4230.98,27370,774,63
1/16/2022,Meta Ads,Campaign_12,AdGroup_3,1539.88,41598,1962,81
1/17/2022,Google Ads,Campaign_11,AdGroup_2,4118.54,118275,1399,112
1/17/2022,Meta Ads,Campaign_4,AdGroup_5,3167.51,98009,4020,257
1/18/2022,Google Ads,Campaign_4,AdGroup_2,1996.33,73618,2666,140
1/18/2022,Meta Ads,Campaign_5,AdGroup_4,4619.08,29568,1431,104
1/19/2022,Google Ads,Campaign_12,AdGroup_5,1911.61,36396,1188,43
1/19/2022,Meta Ads,Campaign_9,AdGroup_4,3244.27,95240,2156,225
1/20/2022,Google Ads,Campaign_10,AdGroup_5,2479.87,54841,1902,181
1/20/2022,Meta Ads,Campaign_7,AdGroup_5,900.67,37217,1599,84
1/21/2022,Google Ads,Campaign_11,AdGroup_2,2721.88,49569,2025,84
1/21/2022,Meta Ads,Campaign_2,AdGroup_4,2446.68,69033,3421,358
1/22/2022,Google Ads,Campaign_3,AdGroup_3,2466.60,59416,2814,61
1/22/2022,Meta Ads,Campaign_8,AdGroup_5,1659.40,118935,4695,132
1/23/2022,Google Ads,Campaign_5,AdGroup_1,2082.45,76737,3128,191
1/23/2022,Meta Ads,Campaign_1,AdGroup_4,1049.90,47704,2159,195
1/24/2022,Google Ads,Campaign_1,AdGroup_4,2598.40,117226,2627,306
1/24/2022,Meta Ads,Campaign_11,AdGroup_4,1195.15,113543,3242,333
1/25/2022,Google Ads,Campaign_5,AdGroup_5,1944.55,72765,3013,163
1/25/2022,Meta Ads,Campaign_5,AdGroup_5,4677.26,103596,3222,340
1/26/2022,Google Ads,Campaign_8,AdGroup_6,1251.77,45009,1716,166
1/26/2022,Meta Ads,Campaign_8,AdGroup_2,1885.51,114842,5594,337
1/27/2022,Google Ads,Campaign_7,AdGroup_5,3882.16,59287,1794,150
1/27/2022,Meta Ads,Campaign_2,AdGroup_6,923.10,91379,2782,200
1/28/2022,Google Ads,Campaign_3,AdGroup_2,1140.89,24031,410,25
1/28/2022,Meta Ads,Campaign_9,AdGroup_2,2735.05,45284,866,61
1/29/2022,Google Ads,Campaign_3,AdGroup_2,4193.81,74948,1018,79
1/29/2022,Meta Ads,Campaign_3,AdGroup_1,2337.42,119774,3146,201
1/30/2022,Google Ads,Campaign_2,AdGroup_6,2064.77,52366,2241,58
1/30/2022,Meta Ads,Campaign_1,AdGroup_4,1796.10,81228,1481,155
1/31/2022,Google Ads,Campaign_8,AdGroup_1,3701.27,113005,4358,459
1/31/2022,Meta Ads,Campaign_6,AdGroup_1,1953.78,98825,3148,171
2/1/2022,Google Ads,Campaign_5,AdGroup_5,4166.16,26339,813,21
2/1/2022,Meta Ads,Campaign_3,AdGroup_5,2957.71,106007,4039,238
2/2/2022,Google Ads,Campaign_12,AdGroup_1,4495.25,84585,3842,257
2/2/2022,Meta Ads,Campaign_7,AdGroup_2,2710.89,94321,1474,55
2/3/2022,Google Ads,Campaign_3,AdGroup_6,1482.90,30075,761,81
2/3/2022,Meta Ads,Campaign_12,AdGroup_5,2406.31,115319,1960,127
2/4/2022,Google Ads,Campaign_11,AdGroup_6,4986.08,47625,487,35
2/4/2022,Meta Ads,Campaign_10,AdGroup_3,4820.03,53447,2165,204
2/5/2022,Google Ads,Campaign_7,AdGroup_3,3213.67,99703,3345,303
2/5/2022,Meta Ads,Campaign_11,AdGroup_3,2631.02,113099,4070,376
2/6/2022,Google Ads,Campaign_6,AdGroup_2,2077.97,49473,1347,30
2/6/2022,Meta Ads,Campaign_4,AdGroup_6,2708.46,102385,1356,50
2/7/2022,Google Ads,Campaign_7,AdGroup_2,5451.80,47828,1091,92
2/7/2022,Meta Ads,Campaign_4,AdGroup_3,4413.02,102730,3274,124
2/8/2022,Google Ads,Campaign_12,AdGroup_2,4430.43,47875,1652,89
2/8/2022,Meta Ads,Campaign_9,AdGroup_4,2939.86,28863,412,10
2/9/2022,Google Ads,Campaign_2,AdGroup_1,4052.26,79187,1969,126
2/9/2022,Meta Ads,Campaign_8,AdGroup_3,3123.99,68421,1579,182
2/10/2022,Google Ads,Campaign_8,AdGroup_6,1365.82,116984,2549,177
2/10/2022,Meta Ads,Campaign_2,AdGroup_6,1076.73,55698,1363,156
2/11/2022,Google Ads,Campaign_9,AdGroup_4,1330.18,100022,3116,303
2/11/2022,Meta Ads,Campaign_12,AdGroup_5,4126.29,23839,422,49
2/12/2022,Google Ads,Campaign_10,AdGroup_5,2789.89,115718,2815,121
2/12/2022,Meta Ads,Campaign_1,AdGroup_4,5330.70,115137,4959,333
2/13/2022,Google Ads,Campaign_6,AdGroup_5,5090.39,113312,4976,285
2/13/2022,Meta Ads,Campaign_8,AdGroup_4,2041.25,24429,385,35
2/14/2022,Google Ads,Campaign_7,AdGroup_4,5233.36,26716,591,48
2/14/2022,Meta Ads,Campaign_3,AdGroup_1,3524.37,40426,1333,51
2/15/2022,Google Ads,Campaign_1,AdGroup_5,5801.54,111179,4127,431
2/15/2022,Meta Ads,Campaign_12,AdGroup_2,1984.74,31676,1384,142
2/16/2022,Google Ads,Campaign_8,AdGroup_1,1511.50,83863,1379,77
2/16/2022,Meta Ads,Campaign_6,AdGroup_5,3473.20,27798,963,90
2/17/2022,Google Ads,Campaign_12,AdGroup_4,4803.05,59607,1548,173
2/17/2022,Meta Ads,Campaign_8,AdGroup_6,1418.88,49633,726,69
2/18/2022,Google Ads,Campaign_3,AdGroup_1,2567.23,98194,4347,351
2/18/2022,Meta Ads,Campaign_6,AdGroup_5,3557.13,74621,1349,100
2/19/2022,Google Ads,Campaign_1,AdGroup_2,5594.56,61415,2485,121
2/19/2022,Meta Ads,Campaign_11,AdGroup_1,4908.56,114772,2021,186
2/20/2022,Google Ads,Campaign_10,AdGroup_5,4887.91,98365,3588,132
2/20/2022,Meta Ads,Campaign_6,AdGroup_3,2535.98,82854,1752,53
2/21/2022,Google Ads,Campaign_11,AdGroup_2,2419.76,42368,1926,140
2/21/2022,Meta Ads,Campaign_7,AdGroup_1,5046.21,49526,911,52
2/22/2022,Google Ads,Campaign_3,AdGroup_6,5667.60,43654,768,23
2/22/2022,Meta Ads,Campaign_5,AdGroup_5,3862.41,28432,984,61
