customer_id,signup_date,signup_channel,campaign,location_id,city,state,membership_type,age,income_band,vehicle_type
C000000,2025-08-02,Meta Ads,Campaign_1,L024,Birmingham,AL,Unlimited,35,40-75k,SUV
C000001,2022-10-13,Referral,Campaign_2,L022,Charlotte,NC,Basic,65,<40k,Van
C000002,2022-03-07,Google Ads,Campaign_2,L007,Birmingham,AL,None,32,<40k,SUV
C000003,2025-08-23,Google Ads,Campaign_9,L014,Charlotte,NC,Unlimited,32,100k+,Truck
C000004,2022-01-14,Organic,Campaign_12,L014,Atlanta,GA,Premium,39,75-100k,SUV
C000005,2023-03-17,Google Ads,Campaign_2,L003,Nashville,TN,Unlimited,42,<40k,Truck
C000006,2023-12-06,Local Promo,Campaign_5,L026,Orlando,FL,None,20,100k+,Sedan
C000007,2024-02-15,Google Ads,Campaign_9,L010,Birmingham,AL,None,58,75-100k,SUV
C000008,2025-12-13,Meta Ads,Campaign_1,L022,Birmingham,AL,Basic,32,75-100k,Sedan
C000009,2023-04-22,Meta Ads,Campaign_7,L009,Birmingham,AL,None,47,75-100k,SUV
C000010,2024-01-29,Organic,Campaign_4,L022,Nashville,TN,None,35,<40k,SUV
C000011,2024-12-29,Meta Ads,Campaign_4,L006,Charlotte,NC,None,47,100k+,Truck
C000012,2025-08-03,Organic,Campaign_9,L008,Charlotte,NC,Premium,61,75-100k,Sedan
C000013,2023-04-15,Google Ads,Campaign_6,L013,Birmingham,AL,Basic,35,<40k,SUV
C000014,2025-03-07,Organic,Campaign_6,L007,Charlotte,NC,None,59,100k+,Van
C000015,2025-08-09,Organic,Campaign_3,L009,Dallas,TX,None,26,40-75k,Truck
C000016,2025-04-12,Google Ads,Campaign_10,L013,Dallas,TX,Unlimited,41,40-75k,SUV
C000017,2024-11-09,Fundraising,Campaign_2,L025,Dallas,TX,Premium,21,<40k,SUV
C000018,2025-07-09,Meta Ads,Campaign_11,L014,Atlanta,GA,None,56,<40k,Van
C000019,2024-02-21,Referral,Campaign_8,L017,Orlando,FL,Basic,34,<40k,Sedan
C000020,2025-10-28,Google Ads,Campaign_5,L025,Orlando,FL,Basic,59,75-100k,Sedan
C000021,2023-08-25,Google Ads,Campaign_3,L015,Dallas,TX,Unlimited,18,75-100k,SUV
C000022,2024-11-05,Meta Ads,Campaign_11,L010,Birmingham,AL,Premium,58,40-75k,SUV
