date,channel,campaign,ad_group,spend,impressions,clicks,conversions
2022-01-01,Google Ads,Campaign_7,AdGroup_5,2722.85,20352,224,21
2022-01-01,Meta Ads,Campaign_8,AdGroup_1,3881.41,52626,2241,198
2022-01-02,Google Ads,Campaign_7,AdGroup_3,2224.5,83734,4167,202
2022-01-02,Meta Ads,Campaign_10,AdGroup_1,4525.96,23340,503,43
2022-01-03,Google Ads,Campaign_1,AdGroup_1,1402.25,54787,2373,59
2022-01-03,Meta Ads,Campaign_2,AdGroup_4,4566.54,53811,1903,146
2022-01-04,Google Ads,Campaign_8,AdGroup_3,4496.83,35447,760,56
2022-01-04,Meta Ads,Campaign_12,AdGroup_6,2153.57,110005,1247,116
2022-01-05,Google Ads,Campaign_3,AdGroup_5,718.81,51638,828,94
2022-01-05,Meta Ads,Campaign_2,AdGroup_5,1467.65,70055,1444,161
2022-01-06,Google Ads,Campaign_5,AdGroup_6,4623.63,30488,1376,126
2022-01-06,Meta Ads,Campaign_11,AdGroup_2,998.49,31889,693,80
2022-01-07,Google Ads,Campaign_8,AdGroup_6,4371.44,90414,1786,112
2022-01-07,Meta Ads,Campaign_10,AdGroup_4,1238.47,31055,1411,156
2022-01-08,Google Ads,Campaign_11,AdGroup_6,714.91,44493,1165,96
2022-01-08,Meta Ads,Campaign_5,AdGroup_2,3442.83,94145,4605,191
2022-01-09,Google Ads,Campaign_5,AdGroup_3,1557.98,35274,526,28
2022-01-09,Meta Ads,Campaign_7,AdGroup_6,4482.14,48093,2334,113
2022-01-10,Google Ads,Campaign_12,AdGroup_4,1140.66,42241,555,35
2022-01-10,Meta Ads,Campaign_5,AdGroup_1,1220.03,111996,4857,371
2022-01-11,Google Ads,Campaign_9,AdGroup_2,2034.18,24949,726,23
2022-01-11,Meta Ads,Campaign_10,AdGroup_3,3075.9,67759,1789,176
2022-01-12,Google Ads,Campaign_7,AdGroup_5,1560.35,86316,1964,178
2022-01-12,Meta Ads,Campaign_11,AdGroup_3,2316.5,69966,3150,87
2022-01-13,Google Ads,Campaign_5,AdGroup_6,2113.02,43278,945,71
2022-01-13,Meta Ads,Campaign_12,AdGroup_6,1798.01,73375,2809,134
2022-01-14,Google Ads,Campaign_7,AdGroup_6,1236.59,59321,1246,95
2022-01-14,Meta Ads,Campaign_4,AdGroup_2,3757.46,59366,750,79
2022-01-15,Google Ads,Campaign_4,AdGroup_1,2996.3,51253,1931,118
2022-01-15,Meta Ads,Campaign_12,AdGroup_1,2657.66,91775,2271,97
2022-01-16,Google Ads,Campaign_9,AdGroup_3,4230.98,27370,774,63
2022-01-16,Meta Ads,Campaign_12,AdGroup_3,1539.88,41598,1962,81
2022-01-17,Google Ads,Campaign_11,AdGroup_2,4118.54,118275,1399,112
2022-01-17,Meta Ads,Campaign_4,AdGroup_5,3167.51,98009,4020,257
2022-01-18,Google Ads,Campaign_4,AdGroup_2,1996.33,73618,2666,140
2022-01-18,Meta Ads,Campaign_5,AdGroup_4,4619.08,29568,1431,104
2022-01-19,Google Ads,Campaign_12,AdGroup_5,1911.61,36396,1188,43
2022-01-19,Meta Ads,Campaign_9,AdGroup_4,3244.27,95240,2156,225
2022-01-20,Google Ads,Campaign_10,AdGroup_5,2479.87,54841,1902,181
2022-01-20,Meta Ads,Campaign_7,AdGroup_5,900.67,37217,1599,84
2022-01-21,Google Ads,Campaign_11,AdGroup_2,2721.88,49569,2025,84
2022-01-21,Meta Ads,Campaign_2,AdGroup_4,2446.68,69033,3421,358
2022-01-22,Google Ads,Campaign_3,AdGroup_3,2466.6,59416,2814,61
2022-01-22,Meta Ads,Campaign_8,AdGroup_5,1659.4,118935,4695,132
2022-01-23,Google Ads,Campaign_5,AdGroup_1,2082.45,76737,3128,191
2022-01-23,Meta Ads,Campaign_1,AdGroup_4,1049.9,47704,2159,195
2022-01-24,Google Ads,Campaign_1,AdGroup_4,2598.4,117226,2627,306
2022-01-24,Meta Ads,Campaign_11,AdGroup_4,1195.15,113543,3242,333
2022-01-25,Google Ads,Campaign_5,AdGroup_5,1944.55,72765,3013,163
2022-01-25,Meta Ads,Campaign_5,AdGroup_5,4677.26,103596,3222,340
2022-01-26,Google Ads,Campaign_8,AdGroup_6,1251.77,45009,1716,166
2022-01-26,Meta Ads,Campaign_8,AdGroup_2,1885.51,114842,5594,337
2022-01-27,Google Ads,Campaign_7,AdGroup_5,3882.16,59287,1794,150
2022-01-27,Meta Ads,Campaign_2,AdGroup_6,923.1,91379,2782,200
2022-01-28,Google Ads,Campaign_3,AdGroup_2,1140.89,24031,410,25
2022-01-28,Meta Ads,Campaign_9,AdGroup_2,2735.05,45284,866,61
2022-01-29,Google Ads,Campaign_3,AdGroup_2,4193.81,74948,1018,79
2022-01-29,Meta Ads,Campaign_3,AdGroup_1,2337.42,119774,3146,201
2022-01-30,Google Ads,Campaign_2,AdGroup_6,2064.77,52366,2241,58
2022-01-30,Meta Ads,Campaign_1,AdGroup_4,1796.1,81228,1481,155
2022-01-31,Google Ads,Campaign_8,AdGroup_1,3701.27,113005,4358,459
2022-01-31,Meta Ads,Campaign_6,AdGroup_1,1953.78,98825,3148,171
2022-02-01,Google Ads,Campaign_5,AdGroup_5,4166.16,26339,813,21
2022-02-01,Meta Ads,Campaign_3,AdGroup_5,2957.71,106007,4039,238
2022-02-02,Google Ads,Campaign_12,AdGroup_1,4495.25,84585,3842,257
2022-02-02,Meta Ads,Campaign_7,AdGroup_2,2710.89,94321,1474,55
2022-02-03,Google Ads,Campaign_3,AdGroup_6,1482.9,30075,761,81
2022-02-03,Meta Ads,Campaign_12,AdGroup_5,2406.31,115319,1960,127
2022-02-04,Google Ads,Campaign_11,AdGroup_6,4986.08,47625,487,35
2022-02-04,Meta Ads,Campaign_10,AdGroup_3,4820.03,53447,2165,204
2022-02-05,Google Ads,Campaign_7,AdGroup_3,3213.67,99703,3345,303
2022-02-05,Meta Ads,Campaign_11,AdGroup_3,2631.02,113099,4070,376
2022-02-06,Google Ads,Campaign_6,AdGroup_2,2077.97,49473,1347,30
2022-02-06,Meta Ads,Campaign_4,AdGroup_6,2708.46,102385,1356,50
2022-02-07,Google Ads,Campaign_7,AdGroup_2,5451.8,47828,1091,92
2022-02-07,Meta Ads,Campaign_4,AdGroup_3,4413.02,102730,3274,124
2022-02-08,Google Ads,Campaign_12,AdGroup_2,4430.43,47875,1652,89
2022-02-08,Meta Ads,Campaign_9,AdGroup_4,2939.86,28863,412,10
2022-02-09,Google Ads,Campaign_2,AdGroup_1,4052.26,79187,1969,126
2022-02-09,Meta Ads,Campaign_8,AdGroup_3,3123.99,68421,1579,182
2022-02-10,Google Ads,Campaign_8,AdGroup_6,1365.82,116984,2549,177
2022-02-10,Meta Ads,Campaign_2,AdGroup_6,1076.73,55698,1363,156
2022-02-11,Google Ads,Campaign_9,AdGroup_4,1330.18,100022,3116,303
2022-02-11,Meta Ads,Campaign_12,AdGroup_5,4126.29,23839,422,49
2022-02-12,Google Ads,Campaign_10,AdGroup_5,2789.89,115718,2815,121
2022-02-12,Meta Ads,Campaign_1,AdGroup_4,5330.7,115137,4959,333
2022-02-13,Google Ads,Campaign_6,AdGroup_5,5090.39,113312,4976,285
2022-02-13,Meta Ads,Campaign_8,AdGroup_4,2041.25,24429,385,35
2022-02-14,Google Ads,Campaign_7,AdGroup_4,5233.36,26716,591,48
2022-02-14,Meta Ads,Campaign_3,AdGroup_1,3524.37,40426,1333,51
2022-02-15,Google Ads,Campaign_1,AdGroup_5,5801.54,111179,4127,431
2022-02-15,Meta Ads,Campaign_12,AdGroup_2,1984.74,31676,1384,142
2022-02-16,Google Ads,Campaign_8,AdGroup_1,1511.5,83863,1379,77
2022-02-16,Meta Ads,Campaign_6,AdGroup_5,3473.2,27798,963,90
2022-02-17,Google Ads,Campaign_12,AdGroup_4,4803.05,59607,1548,173
2022-02-17,Meta Ads,Campaign_8,AdGroup_6,1418.88,49633,726,69
2022-02-18,Google Ads,Campaign_3,AdGroup_1,2567.23,98194,4347,351
2022-02-18,Meta Ads,Campaign_6,AdGroup_5,3557.13,74621,1349,100
2022-02-19,Google Ads,Campaign_1,AdGroup_2,5594.56,61415,2485,121
2022-02-19,Meta Ads,Campaign_11,AdGroup_1,4908.56,114772,2021,186
2022-02-20,Google Ads,Campaign_10,AdGroup_5,4887.91,98365,3588,132
2022-02-20,Meta Ads,Campaign_6,AdGroup_3,2535.98,82854,1752,53
2022-02-21,Google Ads,Campaign_11,AdGroup_2,2419.76,42368,1926,140
2022-02-21,Meta Ads,Campaign_7,AdGroup_1,5046.21,49526,911,52
2022-02-22,Google Ads,Campaign_3,AdGroup_6,5667.6,43654,768,23
2022-02-22,Meta Ads,Campaign_5,AdGroup_5,3862.41,28432,984,61
2022-02-23,Google Ads,Campaign_8,AdGroup_6,3596.28,103462,4956,539
2022-02-23,Meta Ads,Campaign_11,AdGroup_4,5273.41,55977,1867,42
2022-02-24,Google Ads,Campaign_7,AdGroup_1,1414.63,77863,2677,246
2022-02-24,Meta Ads,Campaign_9,AdGroup_5,5595.85,84403,1718,132
2022-02-25,Google Ads,Campaign_6,AdGroup_4,5680.36,105896,4112,103
2022-02-25,Meta Ads,Campaign_7,AdGroup_5,3333.1,86298,1972,140
2022-02-26,Google Ads,Campaign_3,AdGroup_4,5539.55,69249,1954,215
2022-02-26,Meta Ads,Campaign_5,AdGroup_4,3145.0,79729,2865,320
2022-02-27,Google Ads,Campaign_7,AdGroup_2,3987.36,24428,908,79
2022-02-27,Meta Ads,Campaign_3,AdGroup_5,3941.12,118238,4950,260
2022-02-28,Google Ads,Campaign_5,AdGroup_2,1928.1,86976,3641,348
2022-02-28,Meta Ads,Campaign_6,AdGroup_5,4750.82,81203,1704,172
2022-03-01,Google Ads,Campaign_6,AdGroup_3,2354.9,68527,2016,43
2022-03-01,Meta Ads,Campaign_1,AdGroup_3,5094.07,42598,1408,40
2022-03-02,Google Ads,Campaign_11,AdGroup_1,1835.84,33555,425,30
2022-03-02,Meta Ads,Campaign_8,AdGroup_6,5334.49,53030,1071,43
2022-03-03,Google Ads,Campaign_5,AdGroup_6,4641.99,50590,1307,119
2022-03-03,Meta Ads,Campaign_2,AdGroup_2,3943.27,79097,2618,149
2022-03-04,Google Ads,Campaign_8,AdGroup_6,4137.32,75699,3181,153
2022-03-04,Meta Ads,Campaign_8,AdGroup_5,5005.32,49028,2249,229
2022-03-05,Google Ads,Campaign_8,AdGroup_3,1375.99,110500,2273,120
2022-03-05,Meta Ads,Campaign_9,AdGroup_1,1669.44,117808,3377,280
2022-03-06,Google Ads,Campaign_7,AdGroup_6,3051.86,115243,3588,342
2022-03-06,Meta Ads,Campaign_6,AdGroup_3,2798.67,67975,1587,160
2022-03-07,Google Ads,Campaign_5,AdGroup_6,1598.04,33004,1358,71
2022-03-07,Meta Ads,Campaign_9,AdGroup_1,5818.2,87730,1601,88
2022-03-08,Google Ads,Campaign_1,AdGroup_2,2825.35,93984,2933,286
2022-03-08,Meta Ads,Campaign_3,AdGroup_5,1746.68,46555,911,46
2022-03-09,Google Ads,Campaign_2,AdGroup_2,4806.43,21134,487,15
2022-03-09,Meta Ads,Campaign_5,AdGroup_1,2851.96,97169,1718,161
2022-03-10,Google Ads,Campaign_7,AdGroup_1,5963.73,90758,4279,510
2022-03-10,Meta Ads,Campaign_6,AdGroup_4,5680.59,50687,1811,104
2022-03-11,Google Ads,Campaign_8,AdGroup_2,2060.3,100130,2849,199
2022-03-11,Meta Ads,Campaign_4,AdGroup_2,1963.86,46117,668,68
2022-03-12,Google Ads,Campaign_11,AdGroup_6,3260.77,63817,2010,54
2022-03-12,Meta Ads,Campaign_5,AdGroup_2,4349.3,46018,2274,206
2022-03-13,Google Ads,Campaign_11,AdGroup_1,3648.06,50037,2119,232
2022-03-13,Meta Ads,Campaign_4,AdGroup_6,1458.57,106843,5104,312
2022-03-14,Google Ads,Campaign_7,AdGroup_6,1890.12,22218,573,36
2022-03-14,Meta Ads,Campaign_12,AdGroup_2,1258.04,114856,1892,111
2022-03-15,Google Ads,Campaign_1,AdGroup_6,1985.82,53888,2022,125
2022-03-15,Meta Ads,Campaign_1,AdGroup_4,4073.99,82001,1240,32
2022-03-16,Google Ads,Campaign_1,AdGroup_4,1785.88,88134,4086,101
2022-03-16,Meta Ads,Campaign_8,AdGroup_4,4234.45,67729,1151,79
2022-03-17,Google Ads,Campaign_6,AdGroup_4,4695.04,30401,635,59
2022-03-17,Meta Ads,Campaign_6,AdGroup_3,3613.47,72509,3287,220
2022-03-18,Google Ads,Campaign_2,AdGroup_4,3618.54,112069,1224,146
2022-03-18,Meta Ads,Campaign_12,AdGroup_5,4044.58,116193,4802,313
2022-03-19,Google Ads,Campaign_3,AdGroup_4,2484.55,29504,774,34
2022-03-19,Meta Ads,Campaign_6,AdGroup_6,3241.21,119394,3363,212
2022-03-20,Google Ads,Campaign_7,AdGroup_3,1241.64,54536,2026,212
2022-03-20,Meta Ads,Campaign_6,AdGroup_2,5790.81,39922,1370,45
2022-03-21,Google Ads,Campaign_10,AdGroup_4,1410.47,46264,2032,178
2022-03-21,Meta Ads,Campaign_10,AdGroup_2,1244.37,66525,2830,264
2022-03-22,Google Ads,Campaign_11,AdGroup_6,4558.56,93723,3170,338
2022-03-22,Meta Ads,Campaign_5,AdGroup_3,4996.65,24509,518,52
2022-03-23,Google Ads,Campaign_7,AdGroup_5,4723.97,47704,1468,85
2022-03-23,Meta Ads,Campaign_3,AdGroup_3,3243.33,107492,3563,204
2022-03-24,Google Ads,Campaign_11,AdGroup_6,3101.46,63482,703,43
2022-03-24,Meta Ads,Campaign_7,AdGroup_5,5062.09,101288,2855,305
2022-03-25,Google Ads,Campaign_5,AdGroup_1,2419.43,74823,2899,334
2022-03-25,Meta Ads,Campaign_6,AdGroup_3,2626.9,65389,3071,348
2022-03-26,Google Ads,Campaign_8,AdGroup_2,2095.39,48880,866,84
2022-03-26,Meta Ads,Campaign_8,AdGroup_6,875.29,37205,1789,37
2022-03-27,Google Ads,Campaign_5,AdGroup_4,5761.85,87445,2792,162
2022-03-27,Meta Ads,Campaign_4,AdGroup_4,3533.23,53926,1922,218
2022-03-28,Google Ads,Campaign_2,AdGroup_5,3797.93,91363,987,87
2022-03-28,Meta Ads,Campaign_5,AdGroup_1,4796.93,112203,1846,158
2022-03-29,Google Ads,Campaign_3,AdGroup_6,1301.57,52168,745,23
2022-03-29,Meta Ads,Campaign_3,AdGroup_5,5640.37,54585,2140,189
2022-03-30,Google Ads,Campaign_10,AdGroup_3,1196.84,87994,2813,184
2022-03-30,Meta Ads,Campaign_5,AdGroup_6,1563.06,58914,1154,58
2022-03-31,Google Ads,Campaign_1,AdGroup_2,4554.82,116242,4697,94
2022-03-31,Meta Ads,Campaign_1,AdGroup_1,961.81,34891,1696,85
2022-04-01,Google Ads,Campaign_9,AdGroup_4,5015.12,114320,2088,221
2022-04-01,Meta Ads,Campaign_1,AdGroup_6,2117.48,56223,2635,89
2022-04-02,Google Ads,Campaign_2,AdGroup_5,2651.58,98794,4264,373
2022-04-02,Meta Ads,Campaign_11,AdGroup_5,5568.68,118046,2801,278
2022-04-03,Google Ads,Campaign_2,AdGroup_5,2050.09,21631,641,55
2022-04-03,Meta Ads,Campaign_9,AdGroup_3,4646.28,55507,1444,73
2022-04-04,Google Ads,Campaign_9,AdGroup_6,5145.44,70081,1723,84
2022-04-04,Meta Ads,Campaign_9,AdGroup_5,3337.88,93604,3582,412
2022-04-05,Google Ads,Campaign_6,AdGroup_4,5916.97,99098,2007,63
2022-04-05,Meta Ads,Campaign_3,AdGroup_1,4908.54,85384,1818,191
2022-04-06,Google Ads,Campaign_5,AdGroup_1,887.58,61506,1077,122
2022-04-06,Meta Ads,Campaign_12,AdGroup_3,2285.64,87088,4159,250
2022-04-07,Google Ads,Campaign_6,AdGroup_5,4291.83,56889,1193,112
2022-04-07,Meta Ads,Campaign_2,AdGroup_6,811.86,91901,3176,296
2022-04-08,Google Ads,Campaign_1,AdGroup_5,4535.39,62971,1075,58
2022-04-08,Meta Ads,Campaign_2,AdGroup_4,4889.89,72992,1338,121
2022-04-09,Google Ads,Campaign_8,AdGroup_3,4809.52,107692,3094,321
2022-04-09,Meta Ads,Campaign_12,AdGroup_3,1000.56,20497,554,41
2022-04-10,Google Ads,Campaign_10,AdGroup_1,5549.32,93043,2435,76
2022-04-10,Meta Ads,Campaign_5,AdGroup_2,4324.05,57570,2133,234
2022-04-11,Google Ads,Campaign_2,AdGroup_2,2913.6,79200,1864,73
2022-04-11,Meta Ads,Campaign_9,AdGroup_3,957.79,81399,3449,165
2022-04-12,Google Ads,Campaign_1,AdGroup_5,4447.89,55781,1072,34
2022-04-12,Meta Ads,Campaign_8,AdGroup_3,1691.3,103437,4233,250
2022-04-13,Google Ads,Campaign_5,AdGroup_1,2405.71,20904,437,35
2022-04-13,Meta Ads,Campaign_5,AdGroup_3,5927.4,46799,1595,182
2022-04-14,Google Ads,Campaign_7,AdGroup_4,3109.9,24913,361,8
2022-04-14,Meta Ads,Campaign_9,AdGroup_1,5421.99,84048,3202,129
2022-04-15,Google Ads,Campaign_8,AdGroup_6,1960.66,30409,1243,105
2022-04-15,Meta Ads,Campaign_4,AdGroup_3,4628.7,113035,3841,319
2022-04-16,Google Ads,Campaign_3,AdGroup_5,4533.91,113549,5589,248
2022-04-16,Meta Ads,Campaign_3,AdGroup_2,3584.63,115653,3179,133
2022-04-17,Google Ads,Campaign_8,AdGroup_2,1075.95,68674,3245,288
